ID,Nama Tempat,Alamat Lengkap,Latitude,Longitude,Kategori,Jam Buka,Rating,Jumlah Ulasan,Nomor Telepon,Website,Link Google Maps
ChIJfRHNbdIxMTARddNgw1bnuTM,GKI Sumut Medan,"Jl. KH. Zainul Arifin No.124-126, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20152, Indonesia",,,,,4.8,121,+62 61 4511767,https://instagram.com/gkisumedan?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJfRHNbdIxMTARddNgw1bnuTM
ChIJ0-R5EuAxMTAR1WlrpBJVI0g,GKPI Sei Agul,"JM26+MFV, Jl. Orde Baru, Sei Agul, Medan Barat, Medan City, North Sumatra 20117, Indonesia",,,,,4.6,34,+62 61 6628105,,https://www.google.com/maps/place/?q=place_id:ChIJ0-R5EuAxMTAR1WlrpBJVI0g
ChIJk-D-ZmcwMTARjQDpZx77bsI,GKPI Jemaat Khusus Air Bersih,"Jl. Air Bersih No.27, Sudirejo I, Medan Kota, Medan City, North Sumatra 20216, Indonesia",,,,,4.7,71,+62 813-7624-4126,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJk-D-ZmcwMTARjQDpZx77bsI
ChIJEz0IzpoxMTARr2NHe5o3D4I,GKPI Jemaat Khusus Simpang Limun,"Jl. Kemiri 3 No.42, Sudirejo II, Medan Kota, Medan City, North Sumatra 20216, Indonesia",,,,,4.5,33,+62 61 7878806,,https://www.google.com/maps/place/?q=place_id:ChIJEz0IzpoxMTARr2NHe5o3D4I
ChIJKeXR8l8wMTARxmG85_klq6o,The Protestant Fellowship Church,"Jl. Sempurna No.229, Binjai, Medan Denai, Medan City, North Sumatra 20228, Indonesia",,,,,4.9,33,+62 61 7875903,,https://www.google.com/maps/place/?q=place_id:ChIJKeXR8l8wMTARxmG85_klq6o
ChIJ8Tqy18AvMTARmICZQth6z-I,Gereja Kristen Protestan Indonesia,"Jl. Setia Budi No.207, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia",,,,,4.8,20,,,https://www.google.com/maps/place/?q=place_id:ChIJ8Tqy18AvMTARmICZQth6z-I
ChIJmzJ0p40xMTARbJZ-srM5dDw,GKPS Kampung Durian,"Jl. Mapilindo No.21, Glugur Darat II, Medan Timur, Medan City, North Sumatra 20238, Indonesia",,,,,4.5,49,,http://www.gkps.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJmzJ0p40xMTARbJZ-srM5dDw
ChIJAXZDdvMxMTARa8PsegcKMDE,GKPI Resort Khusus Glugur Darat,"JM7H+VQ8, Jl. Gn. Seulawah, Glugur Darat I, Medan Timur, Medan City, North Sumatra 20238, Indonesia",,,,,4.8,14,+62 61 6631033,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJAXZDdvMxMTARa8PsegcKMDE
ChIJgc3VUPswMTARv7jnw5RwbEA,GKPI Bromo Ujung,"Jl. Bromo No.25A, Binjai, Medan Denai, Medan City, North Sumatra 20226, Indonesia",,,,,5,6,,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJgc3VUPswMTARv7jnw5RwbEA
ChIJtZEqx9MxMTARm-95XfK_1Q8,International Church Medan,"Centre Point Mall, Jl. Jawa No.8 Level 01-01, Gang Buntu, Medan Timur, Medan City, North Sumatra 20231, Indonesia",,,,,4.8,72,+62 812-6539-3133,https://icmedan.com/,https://www.google.com/maps/place/?q=place_id:ChIJtZEqx9MxMTARm-95XfK_1Q8
ChIJp0PeiN4xMTARO51pd3_hzlI,Gereja Kristen Protestan Indonesia,"JL. Sekip, No. 38, Sei Agul, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",,,,,5,2,+62 61 6628105,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJp0PeiN4xMTARO51pd3_hzlI
ChIJtzHtu24yMTARYS2Xuvm0RCQ,GKPI Immanuel Medan Utara,"Jalan Kawat 3 Ujung No.75, Tanjung Mulia Hilir, Medan Deli, Medan City, North Sumatra 20241, Indonesia",,,,,4.1,7,,,https://www.google.com/maps/place/?q=place_id:ChIJtzHtu24yMTARYS2Xuvm0RCQ
ChIJsc2z2a8xMTARbY2nVUU04Hk,GKPS - Gereja Kristen Protestan Simalungun Jemaat Hang Tuah,"Jl. Teuku Cik Ditiro No.1, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20152, Indonesia",,,,,4.8,13,,,https://www.google.com/maps/place/?q=place_id:ChIJsc2z2a8xMTARbY2nVUU04Hk
ChIJm-QQF4IxMTARLV6ii-4e1hw,GKPI Partahanan,"Jl. Tombak No.66 E, Sidorejo Hilir, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,,,,4.5,15,,,https://www.google.com/maps/place/?q=place_id:ChIJm-QQF4IxMTARLV6ii-4e1hw
ChIJ1dAecNAxMTARgTc1MDi9n3g,Rahmat International Wildlife Museum & Gallery,"Jl. S. Parman No.309, Petisah Hulu, Medan Baru, Medan City, North Sumatra 20152, Indonesia",,,,,4.6,2855,+62 61 4569964,,https://www.google.com/maps/place/?q=place_id:ChIJ1dAecNAxMTARgTc1MDi9n3g
ChIJiWJuj0kwMTARI7ICMX9rEbI,Meriam Puntung,"Jl. Brigjend Katamso No.118, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20159, Indonesia",,,,,4.4,96,,,https://www.google.com/maps/place/?q=place_id:ChIJiWJuj0kwMTARI7ICMX9rEbI
ChIJ8Y0xVEkwMTAR5bo4vV26z9k,Masjid Raya Al-Mashun,"Jl. Mahkamah No.74c, RT.02, Mesjid, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",,,,,4.8,1906,,https://www.facebook.com/masjidrayaalmashunkotamedan/,https://www.google.com/maps/place/?q=place_id:ChIJ8Y0xVEkwMTAR5bo4vV26z9k
ChIJgWJdY7U6MTAR81FFChcmCFg,Masjid ANNAZHIRIN,"GMC6+7VJ, Jl. Eka Warni, Gedung Johor, Medan Johor, Medan City, North Sumatra 20146, Indonesia",,,,,4.9,1109,+62 821-6526-1100,,https://www.google.com/maps/place/?q=place_id:ChIJgWJdY7U6MTAR81FFChcmCFg
ChIJIVBJFckxMTARZj9913s2Kko,Masjid Lama Gang Bengkok,"Jl. Mesjid No.62, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",,,,,4.8,1035,,,https://www.google.com/maps/place/?q=place_id:ChIJIVBJFckxMTARZj9913s2Kko
ChIJg-P5Ow8vMTARg-aHic0hvBI,Masjid Raya Datuk Badiuzzaman Surbakti,"HJ95+RWC, Sunggal, Medan Sunggal, Medan City, North Sumatra 20128, Indonesia",,,,,4.8,110,,,https://www.google.com/maps/place/?q=place_id:ChIJg-P5Ow8vMTARg-aHic0hvBI
ChIJ5V2fNdIxMTAReYvcHo22EPk,Masjid Ghaudiyah,"HMM9+M98, Jl. KH. Zainul Arifin, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",,,,,4.7,105,,,https://www.google.com/maps/place/?q=place_id:ChIJ5V2fNdIxMTAReYvcHo22EPk
ChIJf7UJvdUvMTARk0nNjr6UsZ4,Al-Jihad Mosque,"HMH5+38G, Jl. Masjid Al Jihad No.22a, Babura, Medan Baru, Medan City, North Sumatra 20222, Indonesia",,,,,4.9,4099,,,https://www.google.com/maps/place/?q=place_id:ChIJf7UJvdUvMTARk0nNjr6UsZ4
ChIJaxHoMrgxMTARb2KDtlSIP98,Masjid Raya Pusat Pasar Medan,"Jl. Pusat Pasar No.4, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",,,,,4.6,747,,,https://www.google.com/maps/place/?q=place_id:ChIJaxHoMrgxMTARb2KDtlSIP98
ChIJeYRpwG4xMTARpQUwbYbPMTQ,Baiturrahman Mosque UNIMED,"JP49+HPM, Jl. Ismail Harun, Kenangan, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,,4.8,744,,,https://www.google.com/maps/place/?q=place_id:ChIJeYRpwG4xMTARpQUwbYbPMTQ
ChIJF4EQwi8yMTARItPuuNDyGV4,MASJID AL MUSANNIF,"JMHV+QWV, Jl. Cemara Perumahan Cemara Asri, Sampali, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,,4.8,3256,,http://yayasanhajianif.id/,https://www.google.com/maps/place/?q=place_id:ChIJF4EQwi8yMTARItPuuNDyGV4
ChIJIWNY-CouMTAR4u0s9ap1x0w,Masjid Muslimin,"Jl. Sei Batang Serangan No.93 / 6, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",,,,,4.8,209,,,https://www.google.com/maps/place/?q=place_id:ChIJIWNY-CouMTAR4u0s9ap1x0w
ChIJjQE1ZU0wMTARdiMEF_6_KTs,Syekh Hasan Maksum Mosque,"HMHV+63M, Jl. Puri, Matsum I City, Medan Area, Medan City, North Sumatra 20215, Indonesia",,,,,4.7,23,,,https://www.google.com/maps/place/?q=place_id:ChIJjQE1ZU0wMTARdiMEF_6_KTs
ChIJEdH-uXgwMTARnuFKKShKOm8,Masjid Al - Hilal,"Jl. Bajak 2 No.10 Kel, Harjosari II, Medan Amplas, Medan City, North Sumatra 20219, Indonesia",,,,,4.8,232,,,https://www.google.com/maps/place/?q=place_id:ChIJEdH-uXgwMTARnuFKKShKOm8
ChIJm6Q2IOoxMTARH35weeOz9xM,Masjid Baiturrahman,"Jl. Gaharu No.47, Gaharu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235, Indonesia",,,,,4.8,218,,,https://www.google.com/maps/place/?q=place_id:ChIJm6Q2IOoxMTARH35weeOz9xM
ChIJdeItwhADMTARB_MDpsk2008,Taman Alam Lumbini,"Jl. Barusjahe, Dolat Rayat, Dolat Rakyat, Karo Regency, North Sumatra 22171, Indonesia",,,,,4.4,3930,+62 852-7516-2891,http://www.tamanalamlumbini.org/,https://www.google.com/maps/place/?q=place_id:ChIJdeItwhADMTARB_MDpsk2008
ChIJe6PF_DjlMDARrWrMp_amLMY,TWS Taman Wisata Syariah Pamah Simelir,"79QH+5VV, Dusun Pamah Simelir, Telagah, Kec. Sei Bingai, Kabupaten Langkat, Sumatera Utara, Indonesia",,,,,4.5,145,+62 823-3913-1840,https://instagram.com/twspamahsimelir?igshid=MmVlMjlkMTBhMg==,https://www.google.com/maps/place/?q=place_id:ChIJe6PF_DjlMDARrWrMp_amLMY
ChIJzZ_cagAxMTARBLZrbFTTHsk,Masjid Jami kebun bunga,"HMPC+P26, Jl. Taruma, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20151, Indonesia",,,,,4.7,3,,,https://www.google.com/maps/place/?q=place_id:ChIJzZ_cagAxMTARBLZrbFTTHsk
ChIJJydx3IIyMTAR3EeLVLialQs,Pubbarama Buddhist Centre (PBC),"MM96+WWC, Jl. Perak, Kota Bangun, Kec. Medan Deli, Kota Medan, Sumatera Utara 20242, Indonesia",,,,,4.7,340,+62 812-6922-2666,,https://www.google.com/maps/place/?q=place_id:ChIJJydx3IIyMTAR3EeLVLialQs
ChIJxfCUhcwxMTARGOR01EKOXqM,Vihara Borobudur,"Jl. Imam Bonjol No.21, Hamdan, Medan Maimun, Medan City, North Sumatra 20151, Indonesia",,,,,4.8,558,+62 61 4528515,https://www.viharaborobudur.org/,https://www.google.com/maps/place/?q=place_id:ChIJxfCUhcwxMTARGOR01EKOXqM
ChIJm6ubtxUwMTAR0naFeuDWh14,Vihara Sinar Buddha (BLIA) 印尼棉蘭佛光寺,"Kompleks CBD, Blok EE110, Jl. Antariksa, Suka Damai, Medan Polonia, Medan City, North Sumatra 20159, Indonesia",,,,,4.7,105,+62 61 42771888,http://www.facebook.com/BLIAindonesia,https://www.google.com/maps/place/?q=place_id:ChIJm6ubtxUwMTAR0naFeuDWh14
ChIJmZbkKcgxMTARgg7Bji2SY5Q,Setia Budi Temple,"Jl. Irian Barat No.6d, Gang Buntu, Medan Timur, Medan City, North Sumatra 20212, Indonesia",,,,,4.7,624,,,https://www.google.com/maps/place/?q=place_id:ChIJmZbkKcgxMTARgg7Bji2SY5Q
ChIJZ77wu9ExMTARjFWtNW5n8hg,Shri Supramaniyam Temple ஸ்ரீ சுப்ரமணியம் நாகரத்தர் கோயில்,"Jalan Kebun Bunga No.6, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20112, Indonesia",,,,,5,14,+62 812-9710-1675,,https://www.google.com/maps/place/?q=place_id:ChIJZ77wu9ExMTARjFWtNW5n8hg
ChIJ3VkakSIxMTARowXGNihnwmQ,Mualaf Center Indonesia Peduli Regional Medan,"Jl. Amaliun No.91Kota Jl. Amaliun No.91, Kota Matsum IV, Kec. Medan Area Kota Medan, Sumatera Utara 20211 IVKec, AreaKota, Kota Medan, Sumatera Utara 20211, Indonesia",,,,,5,59,,,https://www.google.com/maps/place/?q=place_id:ChIJ3VkakSIxMTARowXGNihnwmQ
ChIJ--MpVJAjMTARlFWDXtmfjZY,Yayasan Taman Doa Sola Gratia,"Sugau, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",,,,,4.7,102,+62 813-6294-5127,https://tamandoa.odoo.com/,https://www.google.com/maps/place/?q=place_id:ChIJ--MpVJAjMTARlFWDXtmfjZY
ChIJLUY_q5QxMTARAXkwDw37_B0,Vihara Vimala Diepa,"91, Jl. HOS Cokroaminoto No.15A, Pandau Hilir, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20233, Indonesia",,,,,4.7,119,+62 61 4556142,https://www.wihara.org/listings/vihara-vimala-diepa/12,https://www.google.com/maps/place/?q=place_id:ChIJLUY_q5QxMTARAXkwDw37_B0
ChIJ935f953SNjARYn9Wo-1ZxvE,Danau Siombak,"Jl. Ps. Nippon, Paya Pasir, Medan Marelan, Medan City, North Sumatra 20252, Indonesia",,,,,4,1309,+62 812-6326-301,,https://www.google.com/maps/place/?q=place_id:ChIJ935f953SNjARYn9Wo-1ZxvE
ChIJhSHJh7I6MTARqfd4lT-oTpQ,Taman Cadika Pramuka,"Pangkalan Masyhur, Medan Johor, Medan City, North Sumatra, Indonesia",,,,,4.4,5644,,,https://www.google.com/maps/place/?q=place_id:ChIJhSHJh7I6MTARqfd4lT-oTpQ
ChIJn79-5S4wMTARvQWiTTzKq-s,Kampoeng Selfie (Kongsi),"HMF9+834, Jl. DR. Cipto, Anggrung, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152, Indonesia",,,,,4.3,192,,,https://www.google.com/maps/place/?q=place_id:ChIJn79-5S4wMTARvQWiTTzKq-s
ChIJJc8rCjQwMTARP0_WLlBQbfY,Taman Ahmad Yani Medan,"HMGG+HM6, Jl. Imam Bonjol, J A T I, Medan Maimun, Medan City, North Sumatra 20151, Indonesia",,,,,4.4,4430,,,https://www.google.com/maps/place/?q=place_id:ChIJJc8rCjQwMTARP0_WLlBQbfY
ChIJVXLHJ6cvMTARisZeQlbBOcs,Penangkaran Buaya Asam Kumbang,"Jl. Bunga Raya II No.8, Asam Kumbang, Medan Selayang, Medan City, North Sumatra 20128, Indonesia",,,,,4.2,2407,+62 61 8211134,https://www.usu.ac.id/id/wisata-kota-medan/penangkaran-buaya-asam-kumbang,https://www.google.com/maps/place/?q=place_id:ChIJVXLHJ6cvMTARisZeQlbBOcs
