Nama Tempat,Alamat Lengkap,Latitude,Longitude,Jam Buka,Kategori,Agama,Rating,Jumlah Ulasan,Website,Link Google Maps
GKPI Immanuel Medan Utara,"Jalan Kawat 3 Ujung No.75, Tanjung Mulia Hilir, Medan Deli, Medan City, North Sumatra 20241, Indonesia",,,,Gereja,Kristen,4.1,7.0,,https://www.google.com/maps/place/?q=place_id:ChIJtzHtu24yMTARYS2Xuvm0RCQ
GKPS - Gereja Kristen Protestan Simalungun Jemaat Hang Tuah,"Jl. Teuku Cik Ditiro No.1, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20152, Indonesia",,,,Gereja,Kristen,4.8,13.0,,https://www.google.com/maps/place/?q=place_id:ChIJsc2z2a8xMTARbY2nVUU04Hk
GKPI Partahanan,"Jl. Tombak No.66 E, Sidorejo Hilir, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,,,Gereja,Kristen,4.5,15.0,,https://www.google.com/maps/place/?q=place_id:ChIJm-QQF4IxMTARLV6ii-4e1hw
Rahmat International Wildlife Museum & Gallery,"Jl. S. Parman No.309, Petisah Hulu, Medan Baru, Medan City, North Sumatra 20152, Indonesia",,,,Lainnya,Tidak Diketahui,4.6,2855.0,,https://www.google.com/maps/place/?q=place_id:ChIJ1dAecNAxMTARgTc1MDi9n3g
Meriam Puntung,"Jl. Brigjend Katamso No.118, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20159, Indonesia",,,,Lainnya,Tidak Diketahui,4.4,96.0,,https://www.google.com/maps/place/?q=place_id:ChIJiWJuj0kwMTARI7ICMX9rEbI
Masjid Raya Al-Mashun,"Jl. Mahkamah No.74c, RT.02, Mesjid, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",,,,Masjid,Islam,4.8,1906.0,https://www.facebook.com/masjidrayaalmashunkotamedan/,https://www.google.com/maps/place/?q=place_id:ChIJ8Y0xVEkwMTAR5bo4vV26z9k
Masjid ANNAZHIRIN,"GMC6+7VJ, Jl. Eka Warni, Gedung Johor, Medan Johor, Medan City, North Sumatra 20146, Indonesia",,,,Masjid,Islam,4.9,1109.0,,https://www.google.com/maps/place/?q=place_id:ChIJgWJdY7U6MTAR81FFChcmCFg
Masjid Lama Gang Bengkok,"Jl. Mesjid No.62, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",,,,Masjid,Islam,4.8,1035.0,,https://www.google.com/maps/place/?q=place_id:ChIJIVBJFckxMTARZj9913s2Kko
Masjid Raya Datuk Badiuzzaman Surbakti,"HJ95+RWC, Sunggal, Medan Sunggal, Medan City, North Sumatra 20128, Indonesia",,,,Masjid,Islam,4.8,110.0,,https://www.google.com/maps/place/?q=place_id:ChIJg-P5Ow8vMTARg-aHic0hvBI
Masjid Ghaudiyah,"HMM9+M98, Jl. KH. Zainul Arifin, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",,,,Masjid,Islam,4.7,105.0,,https://www.google.com/maps/place/?q=place_id:ChIJ5V2fNdIxMTAReYvcHo22EPk
Al-Jihad Mosque,"HMH5+38G, Jl. Masjid Al Jihad No.22a, Babura, Medan Baru, Medan City, North Sumatra 20222, Indonesia",,,,Masjid,Islam,4.9,4099.0,,https://www.google.com/maps/place/?q=place_id:ChIJf7UJvdUvMTARk0nNjr6UsZ4
Masjid Raya Pusat Pasar Medan,"Jl. Pusat Pasar No.4, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",,,,Masjid,Islam,4.6,747.0,,https://www.google.com/maps/place/?q=place_id:ChIJaxHoMrgxMTARb2KDtlSIP98
Baiturrahman Mosque UNIMED,"JP49+HPM, Jl. Ismail Harun, Kenangan, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,Masjid,Islam,4.8,744.0,,https://www.google.com/maps/place/?q=place_id:ChIJeYRpwG4xMTARpQUwbYbPMTQ
MASJID AL MUSANNIF,"JMHV+QWV, Jl. Cemara Perumahan Cemara Asri, Sampali, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,Masjid,Islam,4.8,3256.0,http://yayasanhajianif.id/,https://www.google.com/maps/place/?q=place_id:ChIJF4EQwi8yMTARItPuuNDyGV4
Masjid Muslimin,"Jl. Sei Batang Serangan No.93 / 6, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",,,,Masjid,Islam,4.8,209.0,,https://www.google.com/maps/place/?q=place_id:ChIJIWNY-CouMTAR4u0s9ap1x0w
Syekh Hasan Maksum Mosque,"HMHV+63M, Jl. Puri, Matsum I City, Medan Area, Medan City, North Sumatra 20215, Indonesia",,,,Masjid,Islam,4.7,23.0,,https://www.google.com/maps/place/?q=place_id:ChIJjQE1ZU0wMTARdiMEF_6_KTs
Masjid Al - Hilal,"Jl. Bajak 2 No.10 Kel, Harjosari II, Medan Amplas, Medan City, North Sumatra 20219, Indonesia",,,,Masjid,Islam,4.8,232.0,,https://www.google.com/maps/place/?q=place_id:ChIJEdH-uXgwMTARnuFKKShKOm8
Masjid Baiturrahman,"Jl. Gaharu No.47, Gaharu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235, Indonesia",,,,Masjid,Islam,4.8,218.0,,https://www.google.com/maps/place/?q=place_id:ChIJm6Q2IOoxMTARH35weeOz9xM
Taman Alam Lumbini,"Jl. Barusjahe, Dolat Rayat, Dolat Rakyat, Karo Regency, North Sumatra 22171, Indonesia",,,,Vihara,Buddha,4.4,3930.0,http://www.tamanalamlumbini.org/,https://www.google.com/maps/place/?q=place_id:ChIJdeItwhADMTARB_MDpsk2008
TWS Taman Wisata Syariah Pamah Simelir,"79QH+5VV, Dusun Pamah Simelir, Telagah, Kec. Sei Bingai, Kabupaten Langkat, Sumatera Utara, Indonesia",,,,Lainnya,Tidak Diketahui,4.5,145.0,https://instagram.com/twspamahsimelir?igshid=MmVlMjlkMTBhMg==,https://www.google.com/maps/place/?q=place_id:ChIJe6PF_DjlMDARrWrMp_amLMY
Masjid Jami kebun bunga,"HMPC+P26, Jl. Taruma, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20151, Indonesia",,,,Masjid,Islam,4.7,3.0,,https://www.google.com/maps/place/?q=place_id:ChIJzZ_cagAxMTARBLZrbFTTHsk
Pubbarama Buddhist Centre (PBC),"MM96+WWC, Jl. Perak, Kota Bangun, Kec. Medan Deli, Kota Medan, Sumatera Utara 20242, Indonesia",,,,Vihara,Buddha,4.7,340.0,,https://www.google.com/maps/place/?q=place_id:ChIJJydx3IIyMTAR3EeLVLialQs
Vihara Borobudur,"Jl. Imam Bonjol No.21, Hamdan, Medan Maimun, Medan City, North Sumatra 20151, Indonesia",,,,Vihara,Buddha,4.8,558.0,https://www.viharaborobudur.org/,https://www.google.com/maps/place/?q=place_id:ChIJxfCUhcwxMTARGOR01EKOXqM
Vihara Sinar Buddha (BLIA) 印尼棉蘭佛光寺,"Kompleks CBD, Blok EE110, Jl. Antariksa, Suka Damai, Medan Polonia, Medan City, North Sumatra 20159, Indonesia",,,,Vihara,Buddha,4.7,105.0,http://www.facebook.com/BLIAindonesia,https://www.google.com/maps/place/?q=place_id:ChIJm6ubtxUwMTAR0naFeuDWh14
Setia Budi Temple,"Jl. Irian Barat No.6d, Gang Buntu, Medan Timur, Medan City, North Sumatra 20212, Indonesia",,,,Pura,Hindu,4.7,624.0,,https://www.google.com/maps/place/?q=place_id:ChIJmZbkKcgxMTARgg7Bji2SY5Q
Shri Supramaniyam Temple ஸ்ரீ சுப்ரமணியம் நாகரத்தர் கோயில்,"Jalan Kebun Bunga No.6, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20112, Indonesia",,,,Pura,Hindu,5.0,14.0,,https://www.google.com/maps/place/?q=place_id:ChIJZ77wu9ExMTARjFWtNW5n8hg
Mualaf Center Indonesia Peduli Regional Medan,"Jl. Amaliun No.91Kota Jl. Amaliun No.91, Kota Matsum IV, Kec. Medan Area Kota Medan, Sumatera Utara 20211 IVKec, AreaKota, Kota Medan, Sumatera Utara 20211, Indonesia",,,,Lainnya,Tidak Diketahui,5.0,59.0,,https://www.google.com/maps/place/?q=place_id:ChIJ3VkakSIxMTARowXGNihnwmQ
Yayasan Taman Doa Sola Gratia,"Sugau, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",,,,Lainnya,Tidak Diketahui,4.7,102.0,https://tamandoa.odoo.com/,https://www.google.com/maps/place/?q=place_id:ChIJ--MpVJAjMTARlFWDXtmfjZY
Vihara Vimala Diepa,"91, Jl. HOS Cokroaminoto No.15A, Pandau Hilir, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20233, Indonesia",,,,Vihara,Buddha,4.7,119.0,https://www.wihara.org/listings/vihara-vimala-diepa/12,https://www.google.com/maps/place/?q=place_id:ChIJLUY_q5QxMTARAXkwDw37_B0
Danau Siombak,"Jl. Ps. Nippon, Paya Pasir, Medan Marelan, Medan City, North Sumatra 20252, Indonesia",,,,Lainnya,Tidak Diketahui,4.0,1309.0,,https://www.google.com/maps/place/?q=place_id:ChIJ935f953SNjARYn9Wo-1ZxvE
Taman Cadika Pramuka,"Pangkalan Masyhur, Medan Johor, Medan City, North Sumatra, Indonesia",,,,Lainnya,Tidak Diketahui,4.4,5644.0,,https://www.google.com/maps/place/?q=place_id:ChIJhSHJh7I6MTARqfd4lT-oTpQ
Kampoeng Selfie (Kongsi),"HMF9+834, Jl. DR. Cipto, Anggrung, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152, Indonesia",,,,Lainnya,Tidak Diketahui,4.3,192.0,,https://www.google.com/maps/place/?q=place_id:ChIJn79-5S4wMTARvQWiTTzKq-s
Taman Ahmad Yani Medan,"HMGG+HM6, Jl. Imam Bonjol, J A T I, Medan Maimun, Medan City, North Sumatra 20151, Indonesia",,,,Lainnya,Tidak Diketahui,4.4,4430.0,,https://www.google.com/maps/place/?q=place_id:ChIJJc8rCjQwMTARP0_WLlBQbfY
Penangkaran Buaya Asam Kumbang,"Jl. Bunga Raya II No.8, Asam Kumbang, Medan Selayang, Medan City, North Sumatra 20128, Indonesia",,,,Lainnya,Tidak Diketahui,4.2,2407.0,https://www.usu.ac.id/id/wisata-kota-medan/penangkaran-buaya-asam-kumbang,https://www.google.com/maps/place/?q=place_id:ChIJVXLHJ6cvMTARisZeQlbBOcs
The Le Hu Garden,"Jl. Pendidikan, Deli Tua Barat, Deli Tua, Deli Serdang Regency, North Sumatra 20355, Indonesia",,,,Lainnya,Tidak Diketahui,4.2,3733.0,,https://www.google.com/maps/place/?q=place_id:ChIJj-0TtXI7MTARRXrAAdjcZHU
Wisata Merci Waterpark and Resto,"komp.Medan Resort City, Jl. Perjuangan, Deli Tua, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20143, Indonesia",,,,Lainnya,Tidak Diketahui,4.5,5054.0,,https://www.google.com/maps/place/?q=place_id:ChIJeaibaZY7MTARsinvW6PAiqI
T.GARDEN Little Bali in Medan,"Jati Kesuma, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",,,,Lainnya,Tidak Diketahui,4.2,1209.0,,https://www.google.com/maps/place/?q=place_id:ChIJFzkJ0JskMTARr9bx-u9LvVU
Tjong Yong Hian Gallery,"HMP9+GJG, Jl. Kejaksaan, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20151, Indonesia",,,,Lainnya,Tidak Diketahui,4.4,87.0,,https://www.google.com/maps/place/?q=place_id:ChIJte58l9ExMTAR6qHrIZChoSk
Sri Deli Park,"HMGP+HJQ, Jl. Sisingamangaraja, Mesjid, Kec. Medan Kota, Kota Medan, Sumatera Utara 20213, Indonesia",,,,Lainnya,Tidak Diketahui,4.4,1748.0,,https://www.google.com/maps/place/?q=place_id:ChIJta-890swMTARJJlPBPxIySM
Gajah Mada Park,"Jl. Gajah Mada No.35, Babura, Medan Baru, Medan City, North Sumatra 20154, Indonesia",,,,Lainnya,Tidak Diketahui,4.3,3533.0,,https://www.google.com/maps/place/?q=place_id:ChIJ75rUDSouMTARxdqqukiYvcA
Little India Gate ( குட்டி இந்தியா நுழைவாயில்/Gerbang India Kecil),"HMMC+FCQ, Jl. KH. Zainul Arifin, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20152, Indonesia",,,,Lainnya,Hindu,4.3,27.0,,https://www.google.com/maps/place/?q=place_id:ChIJFf2orIYxMTARFJF-loUJuds
Percut Waterpark,"PP6J+HMM, Jalan Kawasan Industri, Paluh Gelombang, Tanjung Rejo, Percut Sei Tuan, Tj. Rejo, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",,,,Lainnya,Tidak Diketahui,4.0,1680.0,https://instagram.com/tamanairpercut,https://www.google.com/maps/place/?q=place_id:ChIJf2-1S7_MNjARYVWYGpC-nmE
State Museum of North Sumatra,"Jl. HM. Joni No.51, West Teladan, Medan Kota, Medan City, North Sumatra 20217, Indonesia",,,,Lainnya,Tidak Diketahui,4.5,2760.0,,https://www.google.com/maps/place/?q=place_id:ChIJH0WmUVowMTARis9K2WYgan4
Raksa Buana Great Temple,"Jl. Polonia No.216, Polonia, Medan Polonia, Medan City, North Sumatra 20157, Indonesia",,,,Pura,Hindu,4.7,89.0,,https://www.google.com/maps/place/?q=place_id:ChIJRc_oQSMwMTAR9sVNFyhZXsU
